step,execution_bon_16x16_acc,execution_bon_16x16_accumulate_acc,execution_bon_4x4_acc,execution_bon_4x4_accumulate_acc,execution_case_acc,execution_case_accumulate_acc,execution_code_acc,execution_code_accumulate_acc,execution_p_00,execution_p_01_as_logged,recorded_at,reward_case_reward_mean,reward_case_reward_num_groups,reward_case_reward_num_samples,reward_case_reward_std,reward_code_reward_mean,reward_code_reward_num_groups,reward_code_reward_num_samples,reward_code_reward_std,reward_gt_correlation_mean_spearman,reward_gt_correlation_n,reward_problems_skipped,reward_problems_total,reward_problems_used,reward_reward_mode,reward_rollout_debug_meta_enabled,reward_rollout_debug_meta_max_problems_per_step,reward_rollout_debug_meta_slots_remaining_after_step,reward_rollout_debug_meta_truncate_chars,sampling_mean_case_response_tokens,sampling_mean_code_response_tokens
0,0.19,0.31875,0.15,0.25125,0.22983870967741934,0.28305555555555556,0.140625,0.2309375,0.03822937625754527,0.3033838973162194,2026-04-03T04:08:53,-0.0292,75,1200,0.4357,0.7834,75,1200,0.3312,0.1254,65.0,25,100,75,self_bootstrap,0,,0,,769.803125,677.820625
1,0.23,0.33039092055485497,0.2,0.2900378310214376,0.15029761904761904,0.21654647435897437,0.195,0.28727931904161413,0.03330049261083744,0.2452554744525547,2026-04-03T04:23:18,-0.0182,70,1120,0.4135,0.7654,70,1120,0.3624,0.0691,59.0,30,100,70,self_bootstrap,0,,0,,799.2875,655.768125
2,0.3,0.36875,0.23,0.28875,0.26,0.2851341807909605,0.22125,0.287734375,0.035357275083302483,0.35409457900807384,2026-04-03T04:36:25,-0.0197,72,1152,0.4521,0.7884,72,1152,0.3351,0.0874,64.0,28,100,72,self_bootstrap,0,,0,,759.04,647.733125
3,0.23,0.3682219419924338,0.22,0.32786885245901637,0.1484375,0.2092551622418879,0.211875,0.3212484237074401,0.014579620929855824,0.37047756874095517,2026-04-03T04:49:12,0.0045,72,1152,0.3821,0.7733,72,1152,0.3494,0.2158,64.0,28,100,72,self_bootstrap,0,,0,,776.295625,641.6775
4,0.28,0.3866498740554156,0.29,0.3413098236775819,0.17732558139534885,0.20977209944751382,0.22625,0.28644521410579343,0.02610487749026792,0.2391048292108363,2026-04-03T05:01:40,-0.0138,74,1184,0.3986,0.7557,74,1184,0.3637,0.1102,60.0,26,100,74,self_bootstrap,0,,0,,787.6575,641.153125
5,0.22,0.34,0.25,0.32875,0.1987179487179487,0.23883161512027493,0.181875,0.275859375,0.026285973260820304,0.18797814207650276,2026-04-03T05:14:34,-0.0426,74,1184,0.3943,0.8019,74,1184,0.3419,0.1002,62.0,26,100,74,self_bootstrap,0,,0,,806.879375,659.41625
6,0.27,0.345,0.21,0.27625,0.20833333333333334,0.26457597173144876,0.176875,0.24828125,0.027333677153171736,0.20493827160493827,2026-04-03T05:27:35,0.0012,65,1040,0.3933,0.7729,65,1040,0.3556,0.1831,51.0,35,100,65,self_bootstrap,0,,0,,769.55,668.44
7,0.25,0.36125,0.23,0.33,0.2015625,0.23781446540880502,0.19875,0.2809375,0.03290719696969697,0.4051724137931034,2026-04-03T05:40:26,-0.0009,76,1216,0.4065,0.7663,76,1216,0.3554,0.1461,64.0,24,100,76,self_bootstrap,0,,0,,760.648125,668.54625
8,0.23,0.35125,0.21,0.29875,0.15029761904761904,0.20373134328358208,0.209375,0.290390625,0.018541409147095178,0.31226765799256506,2026-04-03T05:53:35,-0.0181,74,1184,0.3717,0.8029,74,1184,0.3362,0.1531,58.0,26,100,74,self_bootstrap,0,,0,,764.370625,658.300625
9,0.35,0.449874686716792,0.3,0.36215538847117795,0.171875,0.21844211822660098,0.25375,0.32980889724310775,0.018944519621109608,0.23451327433628322,2026-04-03T06:06:44,-0.0043,70,1120,0.3889,0.7668,70,1120,0.3655,0.1766,64.0,30,100,70,self_bootstrap,0,,0,,759.495,658.356875
10,0.26,0.3925,0.24,0.37,0.13953488372093023,0.16797994269340974,0.218125,0.313671875,0.01912568306010929,0.32432432432432434,2026-04-03T06:19:34,-0.0089,71,1136,0.3651,0.7868,71,1136,0.3592,0.101,63.0,29,100,71,self_bootstrap,0,,0,,778.41,667.816875
11,0.29,0.3675,0.28,0.35,0.08333333333333333,0.0960014409221902,0.216875,0.28671875,0.01599663228793938,0.26280623608017817,2026-04-03T06:32:28,-0.0492,69,1104,0.3333,0.7804,69,1104,0.3688,-0.0258,55.0,31,100,69,self_bootstrap,0,,0,,762.573125,636.8775
12,0.27,0.36397984886649876,0.23,0.31738035264483627,0.06976744186046512,0.0841565349544073,0.205625,0.29526133501259444,0.015017833677492022,0.2541966426858513,2026-04-03T06:45:10,-0.0487,60,960,0.3352,0.7968,60,960,0.3581,0.0781,48.0,40,100,60,self_bootstrap,0,,0,,760.565,661.00375
13,0.24,0.3542713567839196,0.22,0.30904522613065327,0.09722222222222222,0.12298387096774194,0.213125,0.29004396984924624,0.008441091954022989,0.32258064516129037,2026-04-03T06:57:26,-0.0099,58,928,0.328,0.7684,58,928,0.3875,0.1589,47.0,42,100,58,self_bootstrap,0,,0,,742.70875,656.81625
14,0.28,0.39875,0.27,0.38,0.07125,0.10138539042821158,0.248125,0.347109375,0.009452411994784877,0.2948717948717948,2026-04-03T07:09:24,0.0031,52,832,0.3183,0.7744,52,832,0.3788,0.2605,45.0,48,100,52,self_bootstrap,0,,0,,740.165625,655.61125
15,0.22,0.345,0.18,0.27,0.054276315789473686,0.06548804780876494,0.156875,0.24546875,0.005141388174807198,0.3308270676691729,2026-04-03T07:20:43,-0.0278,51,816,0.2873,0.8027,51,816,0.3635,0.0653,44.0,49,100,51,self_bootstrap,0,,0,,829.35125,676.919375
16,0.32,0.4075,0.29,0.36625,0.0525,0.05788177339901478,0.25375,0.32671875,0.007850342408551862,0.25867507886435326,2026-04-03T07:32:17,-0.0376,42,672,0.2808,0.8402,42,672,0.3418,0.0534,38.0,58,100,42,self_bootstrap,0,,0,,798.681875,642.89
17,0.3,0.41125,0.23,0.3,0.03676470588235294,0.046785714285714285,0.21875,0.301953125,0.003740648379052369,0.2184873949579832,2026-04-03T07:43:02,-0.0447,42,672,0.2828,0.8173,42,672,0.3578,-0.2131,34.0,58,100,42,self_bootstrap,0,,0,,763.8075,632.056875
18,0.25,0.34125,0.22,0.2825,0.025297619047619048,0.03159153005464481,0.22875,0.300625,0.0031380753138075313,0.06896551724137934,2026-04-03T07:53:37,-0.0068,30,480,0.2776,0.8074,30,480,0.38,0.2932,26.0,70,100,30,self_bootstrap,0,,0,,769.91125,660.3375
19,0.17,0.28,0.17,0.27,0.0125,0.016121031746031748,0.1575,0.247421875,0.0,0.36170212765957444,2026-04-03T08:03:35,-0.0385,26,416,0.3009,0.7985,26,416,0.3781,0.0234,23.0,74,100,26,self_bootstrap,0,,0,,785.49,696.34625
