step,execution_bon_16x16_acc,execution_bon_16x16_accumulate_acc,execution_bon_4x4_acc,execution_bon_4x4_accumulate_acc,execution_case_acc,execution_case_accumulate_acc,execution_code_acc,execution_code_accumulate_acc,execution_p_00,execution_p_01_as_logged,recorded_at,reward_case_reward_mean,reward_case_reward_num_groups,reward_case_reward_num_samples,reward_case_reward_std,reward_code_reward_mean,reward_code_reward_num_groups,reward_code_reward_num_samples,reward_code_reward_std,reward_problems_skipped,reward_problems_total,reward_problems_used,reward_reward_mode,reward_rollout_debug_meta_enabled,reward_rollout_debug_meta_max_problems_per_step,reward_rollout_debug_meta_slots_remaining_after_step,reward_rollout_debug_meta_truncate_chars,sampling_mean_case_response_tokens,sampling_mean_code_response_tokens
0,0.25,0.35625,0.24,0.34,0.24709302325581395,0.32441348973607037,0.213125,0.299765625,0.03131844064826982,0.3417849898580122,2026-04-03T04:24:34,0.1422,9,688,0.4342,0.2998,9,1600,0.4099,0,100,100,gt_based,0,,0,,802.45125,662.8425
1,0.38,0.5,0.32,0.4258793969849246,0.26,0.3244274809160305,0.245625,0.33063756281407036,0.024531581997295732,0.15505617977528086,2026-04-03T04:34:51,0.116,15,800,0.5363,0.329,12,1600,0.428,0,100,100,gt_based,0,,0,,847.04625,661.159375
2,0.19,0.30125,0.16,0.2375,0.3387096774193548,0.43482905982905984,0.14625,0.219140625,0.04218852999340804,0.2970639032815199,2026-04-03T04:44:49,0.2051,12,496,0.4721,0.2191,10,1600,0.3725,0,100,100,gt_based,0,,0,,842.850625,698.2625
3,0.32,0.43,0.3,0.38125,0.296195652173913,0.3931878306878307,0.23625,0.325703125,0.04104803493449782,0.2883275261324042,2026-04-03T04:53:55,0.1368,9,736,0.4672,0.3257,9,1600,0.4196,0,100,100,gt_based,0,,0,,767.8025,652.4
4,0.26,0.42,0.24,0.385,0.24375,0.28034682080924855,0.21625,0.328515625,0.0444990444990445,0.3150816522574448,2026-04-03T05:02:48,0.1082,14,640,0.4363,0.3285,13,1600,0.4139,0,100,100,gt_based,0,,0,,839.324375,636.08125
5,0.25,0.31909547738693467,0.24,0.3027638190954774,0.2536764705882353,0.3331673306772908,0.156875,0.21749371859296482,0.038399570354457575,0.2520746887966805,2026-04-03T05:12:16,0.069,11,544,0.527,0.2214,9,1600,0.3728,0,100,100,gt_based,0,,0,,849.52125,672.440625
6,0.22,0.315,0.2,0.26125,0.27364864864864863,0.4153386454183267,0.156875,0.223828125,0.04253867151956324,0.2415094339622641,2026-04-03T05:21:25,0.1663,18,592,0.4925,0.2238,13,1600,0.3751,0,100,100,gt_based,0,,0,,848.043125,693.41
7,0.23,0.3175,0.19,0.28125,0.28308823529411764,0.39936926605504586,0.13625,0.224296875,0.04667644183773216,0.2428825622775801,2026-04-03T05:31:15,0.1589,8,544,0.493,0.2243,12,1600,0.3635,0,100,100,gt_based,0,,0,,795.575,669.354375
8,0.36,0.4548872180451128,0.29,0.37092731829573933,0.3321078431372549,0.40048543689320387,0.2575,0.3366228070175439,0.033304119193689745,0.29210526315789476,2026-04-03T05:40:28,0.2093,16,816,0.4698,0.3363,10,1600,0.4314,0,100,100,gt_based,0,,0,,822.50125,637.73875
9,0.27,0.4175,0.24,0.34125,0.27827380952380953,0.3565251572327044,0.19875,0.289375,0.01693384511176338,0.2995951417004049,2026-04-03T05:49:55,0.1461,12,672,0.4849,0.2894,14,1600,0.4103,0,100,100,gt_based,0,,0,,858.303125,658.33625
