estimated_code_reward: mean=0.2699, std=0.3874, num_groups=2, num_samples=320
estimated_case_reward: mean=0.1351, std=0.3712, num_groups=5, num_samples=128
estimated_code_reward: mean=0.2445, std=0.3358, num_groups=2, num_samples=320
estimated_case_reward: mean=0.0762, std=0.2989, num_groups=2, num_samples=96
estimated_code_reward: mean=0.2117, std=0.3644, num_groups=3, num_samples=320
estimated_case_reward: mean=0.1073, std=0.3642, num_groups=2, num_samples=112
estimated_code_reward: mean=0.2359, std=0.3864, num_groups=2, num_samples=320
estimated_case_reward: mean=0.0500, std=0.4189, num_groups=2, num_samples=96
estimated_code_reward: mean=0.2441, std=0.3968, num_groups=1, num_samples=320
estimated_case_reward: mean=0.0225, std=0.4920, num_groups=4, num_samples=144
estimated_code_reward: mean=0.2543, std=0.3957, num_groups=1, num_samples=320
estimated_case_reward: mean=0.1305, std=0.3523, num_groups=0, num_samples=144
estimated_code_reward: mean=0.3059, std=0.4284, num_groups=2, num_samples=320
estimated_case_reward: mean=0.0076, std=0.4953, num_groups=4, num_samples=144
estimated_code_reward: mean=0.3438, std=0.4246, num_groups=2, num_samples=320
estimated_case_reward: mean=0.2802, std=0.4863, num_groups=5, num_samples=176
estimated_code_reward: mean=0.2395, std=0.3791, num_groups=0, num_samples=320
estimated_case_reward: mean=0.2448, std=0.4355, num_groups=1, num_samples=80
estimated_code_reward: mean=0.3238, std=0.4096, num_groups=0, num_samples=320
estimated_case_reward: mean=0.0764, std=0.3047, num_groups=5, num_samples=128
estimated_code_reward: mean=0.2262, std=0.3886, num_groups=0, num_samples=320
estimated_case_reward: mean=0.3774, std=0.4962, num_groups=2, num_samples=112
estimated_code_reward: mean=0.2570, std=0.4021, num_groups=4, num_samples=320
estimated_case_reward: mean=0.4088, std=0.4850, num_groups=0, num_samples=112
estimated_code_reward: mean=0.2074, std=0.3271, num_groups=2, num_samples=320
estimated_case_reward: mean=0.1931, std=0.4300, num_groups=0, num_samples=64
estimated_code_reward: mean=0.2707, std=0.4059, num_groups=5, num_samples=320
estimated_case_reward: mean=0.1946, std=0.4162, num_groups=2, num_samples=128
estimated_code_reward: mean=0.2508, std=0.3790, num_groups=3, num_samples=320
estimated_case_reward: mean=0.2365, std=0.6035, num_groups=0, num_samples=80
estimated_code_reward: mean=0.2832, std=0.3893, num_groups=1, num_samples=320
estimated_case_reward: mean=0.0417, std=0.4211, num_groups=3, num_samples=160
estimated_code_reward: mean=0.2426, std=0.4006, num_groups=3, num_samples=320
estimated_case_reward: mean=0.0729, std=0.3416, num_groups=3, num_samples=144
estimated_code_reward: mean=0.2000, std=0.3350, num_groups=5, num_samples=320
