step,exp,mean_code_response_tokens,mean_case_response_tokens,code_acc,code_accumulate_acc,case_acc,case_accumulate_acc,p_01_as_logged,p_00,bon_k4_acc,bon_k4_accumulate_acc,bon_k16_acc,bon_k16_accumulate_acc,code_reward_mean,code_reward_std,code_reward_num_groups,code_reward_num_samples,case_reward_mean,case_reward_std,case_reward_num_groups,case_reward_num_samples,problems_total,problems_used,problems_skipped,gt_correlation_mean_spearman,gt_correlation_n
1,pair,681.690625,793.319375,0.18625,0.288828125,0.23472222222222222,0.30054530201342283,0.28341855368882396,0.07077837637005387,0.25,0.37,0.23,0.3875,0.2888,0.406,76,1600,0.5737,0.3395,100,1600,100,100,0,-0.4907,73
2,pair,690.498125,836.49625,0.21125,0.28234375,0.2857142857142857,0.38886834319526625,0.14587332053742808,0.021385402138540215,0.26,0.34,0.31,0.40375,0.2823,0.4033,78,1600,0.5977,0.3457,100,1600,100,100,0,-0.478,74
3,pair,659.95625,826.6,0.16375,0.23598866498740553,0.2977941176470588,0.3945610687022901,0.3172413793103448,0.027166142407778097,0.17,0.27204030226700254,0.19,0.3047858942065491,0.2342,0.3807,71,1600,0.6222,0.3143,100,1600,100,100,0,-0.5266,71
4,pair,667.450625,793.70125,0.225,0.33015625,0.2758152173913043,0.3333333333333333,0.2960662525879917,0.08846069629954018,0.23,0.3375,0.26,0.37625,0.3302,0.4164,81,1600,0.5509,0.3407,100,1600,100,100,0,-0.4936,76
5,pair,658.026875,712.995,0.26875,0.34609375,0.3307291666666667,0.4001453488372093,0.20957668285912556,0.04487017897655659,0.33,0.40125,0.32,0.43625,0.3461,0.4449,74,1600,0.5395,0.3315,100,1600,100,100,0,-0.4588,70
6,pair,711.0625,784.35375,0.20375,0.281640625,0.26805555555555555,0.34566717791411045,0.31708991077556625,0.04002475758200949,0.23,0.295,0.28,0.385,0.2816,0.4103,77,1600,0.6705,0.3308,100,1600,100,100,0,-0.46,72
7,pair,669.099375,743.75875,0.22375,0.31453125,0.3333333333333333,0.4177723463687151,0.35978520286396176,0.06827016520894072,0.23,0.34125,0.3,0.40375,0.3145,0.4173,80,1600,0.6077,0.3381,100,1600,100,100,0,-0.3703,73
8,pair,688.94875,810.57375,0.165,0.24788533834586465,0.29878048780487804,0.42021780303030304,0.42774982027318476,0.04548248309772587,0.2,0.2907268170426065,0.23,0.3433583959899749,0.2496,0.3847,74,1600,0.6706,0.2909,100,1600,100,100,0,-0.4607,74
9,pair,678.235,807.79125,0.225625,0.32359375,0.25,0.3111149584487535,0.4376923076923077,0.03551251008878128,0.25,0.3475,0.27,0.39125,0.3236,0.4237,73,1600,0.6068,0.3247,100,1600,100,100,0,-0.5724,69
10,pair,669.625625,808.420625,0.23625,0.2943167506297229,0.3125,0.36061507936507936,0.22585034013605443,0.041729135432283855,0.28,0.3350125944584383,0.26,0.32871536523929473,0.2921,0.422,74,1600,0.6469,0.314,100,1600,100,100,0,-0.4747,70
11,pair,631.295,628.99375,0.246875,0.3640625,0.3382352941176471,0.4234177215189873,0.29707542329399694,0.07102569458951327,0.28,0.43875,0.32,0.47,0.3641,0.418,83,1600,0.6076,0.3118,100,1600,100,100,0,-0.3895,76
12,pair,672.451875,759.29375,0.221875,0.3179796696315121,0.26371951219512196,0.3563380281690141,0.3448673587081892,0.046594074449227654,0.22,0.3189326556543837,0.24,0.3799237611181703,0.3139,0.4236,80,1600,0.6435,0.323,100,1600,100,100,0,-0.4543,76
13,pair,660.49125,686.6,0.189375,0.266953125,0.25726744186046513,0.3523102310231023,0.3215130023640662,0.06379063586178696,0.23,0.30375,0.22,0.32,0.267,0.4019,73,1600,0.6615,0.3089,100,1600,100,100,0,-0.4098,69
